feature,importance
167_1,216
272_0,176
167_0,169
397_6,151
459_19,149
158_0,143
459_14,141
397_0,133
397_30,131
459_18,128
158_9,122
459_16,120
459_15,118
397_3,118
309_0,117
397_12,116
397_5,111
291_0,109
272_1,108
397_35,107
100_0,107
397_7,106
158_1,105
397_9,102
397_18,102
397_24,102
459_0,101
397_26,100
397_31,98
459_9,96
291_5,96
167_6,93
291_8,93
837_0,91
291_1,89
158_3,89
158_8,86
291_9,86
167_2,85
459_17,85
397_22,84
272_5,83
397_28,82
397_15,82
397_8,81
397_29,81
272_6,80
397_32,79
397_1,79
397_27,79
272_3,77
158_7,77
291_7,75
666_0,74
397_2,74
damage_h291,73
397_11,73
459_13,72
397_10,72
291_10,72
167_8,71
167_4,70
397_16,69
291_3,68
397_34,68
397_25,68
397_17,68
397_4,67
291_2,67
167_3,66
158_2,66
291_4,64
damage_h167,64
291_6,64
272_2,63
397_14,62
167_7,61
damage_h459,61
397_23,60
397_13,58
397_33,58
158_6,57
272_4,56
167_9,54
158_5,54
272_7,54
459_8,54
397_19,51
459_10,51
459_3,50
272_8,50
459_1,49
459_11,49
459_12,49
459_2,48
397_20,47
397_21,47
370_0,46
459_4,46
167_5,46
158_4,45
459_6,44
835_0,43
427_0,42
damage_h272,39
459_5,36
damage_h158,34
damage_h397,34
459_7,32
272_9,28
171_0,24
